,coef,std err,t,P>|t|,[0.025,0.975]
"OffensePersonnel_2 QB, 1 RB, 0 TE, 3 WR",2.8873,1.205,2.397,0.017,0.526,5.248
"OffensePersonnel_2 QB, 1 RB, 1 TE, 2 WR",3.1408,1.077,2.915,0.004,1.029,5.252
"OffensePersonnel_2 QB, 1 RB, 2 TE, 1 WR",2.2469,1.146,1.961,0.05,0.001,4.493
"OffensePersonnel_2 QB, 1 RB, 3 TE, 0 WR",4.7414,1.485,3.194,0.001,1.832,7.651
"OffensePersonnel_2 QB, 2 RB, 0 TE, 2 WR",3.2591,1.516,2.149,0.032,0.287,6.231
"OffensePersonnel_2 QB, 2 RB, 1 TE, 1 WR",6.9037,1.1,6.274,0.0,4.747,9.06
"OffensePersonnel_2 QB, 2 RB, 2 TE, 0 WR",5.9411,1.81,3.282,0.001,2.393,9.489
"OffensePersonnel_2 QB, 3 RB, 1 TE, 0 WR",0.9666,1.959,0.493,0.622,-2.873,4.806
"OffensePersonnel_2 RB, 0 TE, 3 WR",3.4383,1.062,3.236,0.001,1.356,5.521
"OffensePersonnel_2 RB, 1 TE, 1 WR,1 DB",2.1395,1.875,1.141,0.254,-1.535,5.814
"OffensePersonnel_2 RB, 1 TE, 2 WR",3.9391,1.056,3.729,0.0,1.869,6.009
"OffensePersonnel_2 RB, 2 TE, 0 WR,1 DL",2.6117,1.531,1.706,0.088,-0.389,5.613
"OffensePersonnel_2 RB, 2 TE, 1 WR",4.1947,1.057,3.968,0.0,2.123,6.267
"OffensePersonnel_2 RB, 3 TE, 0 WR",3.947,1.082,3.646,0.0,1.825,6.069
"OffensePersonnel_2 RB, 3 TE, 1 WR",3.1287,1.921,1.629,0.103,-0.637,6.894
"OffensePersonnel_3 RB, 0 TE, 2 WR",1.6528,1.136,1.455,0.146,-0.573,3.879
"OffensePersonnel_3 RB, 1 TE, 1 WR",3.362,1.096,3.067,0.002,1.214,5.51
"OffensePersonnel_3 RB, 2 TE, 0 WR",4.559,1.254,3.635,0.0,2.101,7.017
"OffensePersonnel_6 OL, 0 RB, 2 TE, 2 WR",-1.0662,1.875,-0.569,0.57,-4.741,2.608
"OffensePersonnel_6 OL, 1 RB, 0 TE, 3 WR",3.5147,1.067,3.294,0.001,1.423,5.606
"OffensePersonnel_6 OL, 1 RB, 1 TE, 0 WR,2 DL",4.682,1.817,2.577,0.01,1.12,8.244
"OffensePersonnel_6 OL, 1 RB, 1 TE, 1 WR,1 DL",3.389,1.206,2.811,0.005,1.026,5.752
"OffensePersonnel_6 OL, 1 RB, 1 TE, 2 WR",3.1105,1.059,2.938,0.003,1.035,5.186
"OffensePersonnel_6 OL, 1 RB, 2 TE, 0 WR,1 DL",4.7503,1.138,4.173,0.0,2.519,6.981
"OffensePersonnel_6 OL, 1 RB, 2 TE, 0 WR,1 LB",4.7568,1.167,4.076,0.0,2.469,7.044
"OffensePersonnel_6 OL, 1 RB, 2 TE, 1 WR",3.7806,1.058,3.572,0.0,1.706,5.855
"OffensePersonnel_6 OL, 1 RB, 3 TE, 0 WR",4.5871,1.087,4.22,0.0,2.456,6.718
"OffensePersonnel_6 OL, 2 RB, 0 TE, 2 WR",5.3712,1.079,4.977,0.0,3.256,7.486
"OffensePersonnel_6 OL, 2 RB, 1 TE, 0 WR,1 DL",3.8916,1.19,3.271,0.001,1.56,6.223
"OffensePersonnel_6 OL, 2 RB, 1 TE, 1 WR",4.3058,1.06,4.061,0.0,2.228,6.384
"OffensePersonnel_6 OL, 2 RB, 2 TE, 0 WR",4.7971,1.074,4.468,0.0,2.693,6.901
"OffensePersonnel_6 OL, 3 RB, 0 TE, 1 WR",4.7132,1.808,2.607,0.009,1.17,8.256
"OffensePersonnel_7 OL, 1 RB, 0 TE, 2 WR",3.1986,1.093,2.927,0.003,1.057,5.341
"OffensePersonnel_7 OL, 1 RB, 2 TE, 0 WR",4.5116,1.169,3.86,0.0,2.221,6.802
"OffensePersonnel_7 OL, 2 RB, 0 TE, 1 WR",4.4495,1.167,3.813,0.0,2.162,6.737
"OffensePersonnel_7 OL, 2 RB, 1 TE, 0 WR",4.1142,1.533,2.683,0.007,1.109,7.119
"DefensePersonnel_0 DL, 5 LB, 6 DB",-2.4138,1.022,-2.361,0.018,-4.418,-0.41
"DefensePersonnel_0 DL, 6 LB, 5 DB",-2.4452,1.317,-1.856,0.063,-5.027,0.136
"DefensePersonnel_1 DL, 2 LB, 8 DB",2.9036,1.678,1.73,0.084,-0.385,6.193
"DefensePersonnel_1 DL, 3 LB, 7 DB",-1.6136,0.919,-1.756,0.079,-3.415,0.188
"DefensePersonnel_1 DL, 4 LB, 6 DB",-1.7927,0.837,-2.142,0.032,-3.433,-0.152
"DefensePersonnel_1 DL, 5 LB, 5 DB",-2.4569,0.863,-2.848,0.004,-4.148,-0.766
"DefensePersonnel_2 DL, 2 LB, 7 DB",1.4908,0.914,1.631,0.103,-0.3,3.282
"DefensePersonnel_2 DL, 3 LB, 6 DB",-1.9289,0.819,-2.356,0.018,-3.534,-0.324
"DefensePersonnel_2 DL, 4 LB, 4 DB, 1 OL",-0.5917,1.178,-0.502,0.616,-2.902,1.718
"DefensePersonnel_2 DL, 4 LB, 5 DB",-2.2432,0.817,-2.747,0.006,-3.844,-0.643
"DefensePersonnel_2 DL, 5 LB, 4 DB",-3.0291,0.88,-3.44,0.001,-4.755,-1.303
"DefensePersonnel_3 DL, 1 LB, 7 DB",-3.0923,0.926,-3.339,0.001,-4.907,-1.277
"DefensePersonnel_3 DL, 2 LB, 6 DB",-2.0022,0.823,-2.433,0.015,-3.615,-0.389
"DefensePersonnel_3 DL, 3 LB, 5 DB",-2.3533,0.817,-2.882,0.004,-3.954,-0.753
"DefensePersonnel_3 DL, 4 LB, 3 DB, 1 OL",-1.1366,1.757,-0.647,0.518,-4.579,2.306
"DefensePersonnel_3 DL, 4 LB, 4 DB",-2.3066,0.818,-2.821,0.005,-3.909,-0.704
"DefensePersonnel_3 DL, 5 LB, 3 DB",-1.6451,0.842,-1.954,0.051,-3.295,0.005
"DefensePersonnel_4 DL, 0 LB, 7 DB",-4.9592,1.242,-3.992,0.0,-7.394,-2.524
"DefensePersonnel_4 DL, 1 LB, 6 DB",-1.755,0.82,-2.14,0.032,-3.363,-0.147
"DefensePersonnel_4 DL, 2 LB, 5 DB",-2.2434,0.816,-2.748,0.006,-3.843,-0.643
"DefensePersonnel_4 DL, 3 LB, 4 DB",-2.423,0.818,-2.964,0.003,-4.025,-0.821
"DefensePersonnel_4 DL, 4 LB, 3 DB",-3.1221,0.826,-3.78,0.0,-4.741,-1.503
"DefensePersonnel_4 DL, 5 LB, 1 DB, 1 OL",-2.4803,1.768,-1.403,0.161,-5.945,0.985
"DefensePersonnel_4 DL, 5 LB, 2 DB",-2.9295,1.078,-2.718,0.007,-5.042,-0.817
"DefensePersonnel_4 DL, 6 LB, 1 DB",-3.0493,1.443,-2.113,0.035,-5.877,-0.221
"DefensePersonnel_5 DL, 1 LB, 5 DB",-3.2749,0.852,-3.844,0.0,-4.945,-1.605
"DefensePersonnel_5 DL, 2 LB, 4 DB",-1.7347,0.826,-2.099,0.036,-3.354,-0.115
"DefensePersonnel_5 DL, 3 LB, 2 DB, 1 OL",-3.8679,1.011,-3.827,0.0,-5.849,-1.887
"DefensePersonnel_5 DL, 3 LB, 3 DB",-3.3293,0.835,-3.988,0.0,-4.965,-1.693
"DefensePersonnel_5 DL, 4 LB, 1 DB, 1 OL",-3.644,1.217,-2.993,0.003,-6.03,-1.258
"DefensePersonnel_5 DL, 4 LB, 2 DB",-2.7941,0.859,-3.254,0.001,-4.477,-1.111
"DefensePersonnel_5 DL, 5 LB, 1 DB",-4.1699,1.019,-4.091,0.0,-6.168,-2.172
"DefensePersonnel_6 DL, 1 LB, 4 DB",-4.3927,1.891,-2.323,0.02,-8.099,-0.686
"DefensePersonnel_6 DL, 2 LB, 3 DB",-3.8217,0.876,-4.364,0.0,-5.538,-2.105
"DefensePersonnel_6 DL, 3 LB, 2 DB",-3.6133,0.858,-4.211,0.0,-5.295,-1.932
"DefensePersonnel_6 DL, 4 LB, 1 DB",-3.544,0.855,-4.144,0.0,-5.22,-1.868
"DefensePersonnel_7 DL, 2 LB, 2 DB",-3.1952,1.686,-1.895,0.058,-6.501,0.11
PlayDirection_right,-0.0467,0.02,-2.309,0.021,-0.086,-0.007
Position_CB,-33.1564,32.184,-1.03,0.303,-96.237,29.924
Position_DB,-35.7068,32.568,-1.096,0.273,-99.54,28.126
Position_DE,-2.0443,6.08,-0.336,0.737,-13.961,9.872
Position_DL,-15.5891,12.413,-1.256,0.209,-39.919,8.74
Position_DT,1.3087,6.39,0.205,0.838,-11.215,13.833
Position_FB,-20.6641,16.078,-1.285,0.199,-52.177,10.849
Position_G,-3.4411,2.358,-1.459,0.145,-8.063,1.181
Position_HB,-25.4533,21.433,-1.188,0.235,-67.461,16.554
Position_LB,-24.5863,24.371,-1.009,0.313,-72.352,23.18
Position_NT,-2.205,2.854,-0.773,0.44,-7.799,3.389
Position_OG,-3.284,2.695,-1.219,0.223,-8.566,1.998
Position_OT,-2.024,2.596,-0.78,0.436,-7.112,3.064
Position_QB,-29.643,23.334,-1.27,0.204,-75.378,16.092
Position_RB,-24.834,22.452,-1.106,0.269,-68.84,19.172
Position_S,-35.7967,32.692,-1.095,0.274,-99.872,28.279
Position_TE,-21.9649,15.538,-1.414,0.157,-52.42,8.49
Position_WR,-31.3788,28.358,-1.107,0.268,-86.959,24.201
StadiumType_Outdoor,0.1239,0.046,2.689,0.007,0.034,0.214
Turf_Mix,-0.2598,0.09,-2.903,0.004,-0.435,-0.084
Turf_Natural,-0.3906,0.036,-10.994,0.0,-0.46,-0.321
GameWeather_Cloudy,-0.0365,0.037,-0.98,0.327,-0.11,0.037
GameWeather_Cold,-0.2472,0.141,-1.753,0.08,-0.524,0.029
GameWeather_Fair,-0.4615,0.106,-4.357,0.0,-0.669,-0.254
GameWeather_Hazy,0.0282,0.142,0.199,0.842,-0.25,0.306
GameWeather_Indoor,-0.0299,0.067,-0.45,0.653,-0.16,0.101
GameWeather_Overcast,-0.8065,0.171,-4.725,0.0,-1.141,-0.472
GameWeather_Rain,-0.0556,0.056,-0.989,0.323,-0.166,0.055
GameWeather_Snow,-0.1929,0.123,-1.574,0.116,-0.433,0.047
GameWeather_Sunny,0.0697,0.04,1.747,0.081,-0.008,0.148
WindDirection_n,0.381,0.066,5.795,0.0,0.252,0.51
WindDirection_ne,0.2192,0.058,3.794,0.0,0.106,0.332
WindDirection_nw,0.3839,0.062,6.232,0.0,0.263,0.505
WindDirection_s,0.4791,0.063,7.587,0.0,0.355,0.603
WindDirection_se,0.359,0.063,5.724,0.0,0.236,0.482
WindDirection_sw,0.4098,0.06,6.86,0.0,0.293,0.527
WindDirection_w,0.361,0.068,5.308,0.0,0.228,0.494
TeamAbbr_ATL,0.532,0.324,1.643,0.1,-0.103,1.167
TeamAbbr_BAL,0.3485,0.318,1.095,0.273,-0.275,0.972
TeamAbbr_BUF,-0.1026,0.279,-0.367,0.713,-0.65,0.445
TeamAbbr_CAR,0.4407,0.291,1.515,0.13,-0.129,1.011
TeamAbbr_CHI,-0.2705,0.307,-0.881,0.378,-0.872,0.331
TeamAbbr_CIN,0.1564,0.32,0.488,0.625,-0.471,0.784
TeamAbbr_CLE,0.2417,0.229,1.058,0.29,-0.206,0.69
TeamAbbr_DAL,-0.0494,0.285,-0.174,0.862,-0.607,0.509
TeamAbbr_DEN,0.1453,0.299,0.487,0.626,-0.44,0.73
TeamAbbr_DET,0.0492,0.257,0.192,0.848,-0.454,0.552
TeamAbbr_GB,-0.0671,0.272,-0.247,0.805,-0.6,0.465
TeamAbbr_HOU,-0.9128,0.252,-3.623,0.0,-1.407,-0.419
TeamAbbr_IND,0.1668,0.258,0.646,0.519,-0.34,0.673
TeamAbbr_JAX,0.4202,0.288,1.461,0.144,-0.143,0.984
TeamAbbr_KC,0.3569,0.27,1.323,0.186,-0.172,0.886
TeamAbbr_LA,0.99,0.275,3.602,0.0,0.451,1.529
TeamAbbr_LAC,0.1813,0.284,0.64,0.522,-0.374,0.737
TeamAbbr_MIA,0.2999,0.263,1.139,0.255,-0.216,0.816
TeamAbbr_MIN,-0.0194,0.309,-0.063,0.95,-0.626,0.587
TeamAbbr_NE,0.6695,0.274,2.445,0.014,0.133,1.206
TeamAbbr_NO,0.0598,0.31,0.193,0.847,-0.547,0.667
TeamAbbr_NYG,0.4263,0.235,1.814,0.07,-0.034,0.887
TeamAbbr_NYJ,0.5212,0.31,1.68,0.093,-0.087,1.129
TeamAbbr_OAK,0.5495,0.227,2.418,0.016,0.104,0.995
TeamAbbr_PHI,0.2416,0.303,0.797,0.425,-0.353,0.836
TeamAbbr_PIT,-0.1212,0.395,-0.306,0.759,-0.896,0.654
TeamAbbr_SEA,0.1142,0.268,0.427,0.67,-0.411,0.639
TeamAbbr_SF,0.3448,0.279,1.235,0.217,-0.202,0.892
TeamAbbr_TB,0.2562,0.29,0.884,0.377,-0.312,0.824
TeamAbbr_TEN,0.167,0.306,0.546,0.585,-0.433,0.767
TeamAbbr_WAS,0.2348,0.272,0.864,0.388,-0.298,0.768
OppTeamAbbr_ATL,0.3094,0.089,3.485,0.0,0.135,0.483
OppTeamAbbr_BAL,0.0471,0.089,0.529,0.596,-0.127,0.222
OppTeamAbbr_BUF,-0.1787,0.09,-1.98,0.048,-0.356,-0.002
OppTeamAbbr_CAR,0.463,0.09,5.149,0.0,0.287,0.639
OppTeamAbbr_CHI,-0.1621,0.087,-1.868,0.062,-0.332,0.008
OppTeamAbbr_CIN,0.0248,0.091,0.273,0.785,-0.153,0.203
OppTeamAbbr_CLE,0.302,0.088,3.447,0.001,0.13,0.474
OppTeamAbbr_DAL,0.0045,0.086,0.052,0.958,-0.165,0.174
OppTeamAbbr_DEN,0.2491,0.085,2.927,0.003,0.082,0.416
OppTeamAbbr_DET,-0.0789,0.088,-0.9,0.368,-0.251,0.093
OppTeamAbbr_GB,-0.0264,0.097,-0.273,0.785,-0.216,0.163
OppTeamAbbr_HOU,-0.4884,0.088,-5.555,0.0,-0.661,-0.316
OppTeamAbbr_IND,-0.1427,0.087,-1.648,0.099,-0.312,0.027
OppTeamAbbr_JAX,0.2011,0.086,2.331,0.02,0.032,0.37
OppTeamAbbr_KC,0.3409,0.088,3.874,0.0,0.168,0.513
OppTeamAbbr_LA,0.8103,0.085,9.527,0.0,0.644,0.977
OppTeamAbbr_LAC,0.198,0.089,2.229,0.026,0.024,0.372
OppTeamAbbr_MIA,0.3663,0.088,4.168,0.0,0.194,0.538
OppTeamAbbr_MIN,-0.1056,0.087,-1.21,0.226,-0.277,0.065
OppTeamAbbr_NE,0.4334,0.091,4.746,0.0,0.254,0.612
OppTeamAbbr_NO,0.2393,0.088,2.72,0.007,0.067,0.412
OppTeamAbbr_NYG,0.1988,0.089,2.238,0.025,0.025,0.373
OppTeamAbbr_NYJ,-0.1594,0.09,-1.762,0.078,-0.337,0.018
OppTeamAbbr_OAK,0.3638,0.087,4.195,0.0,0.194,0.534
OppTeamAbbr_PHI,0.1628,0.089,1.827,0.068,-0.012,0.338
OppTeamAbbr_PIT,-0.0096,0.089,-0.108,0.914,-0.184,0.165
OppTeamAbbr_SEA,-0.022,0.091,-0.243,0.808,-0.2,0.156
OppTeamAbbr_SF,0.2447,0.085,2.881,0.004,0.078,0.411
OppTeamAbbr_TB,0.1057,0.089,1.184,0.236,-0.069,0.281
OppTeamAbbr_TEN,0.0728,0.087,0.839,0.402,-0.097,0.243
OppTeamAbbr_WAS,0.2013,0.088,2.293,0.022,0.029,0.373
