,coef,std err,t,P>|t|,[0.025,0.975]
DisplayName_Eric Winston,-2.734,1.83,-1.494,0.135,-6.321,0.853
DisplayName_Eric Wood,-4.6355,1.866,-2.485,0.013,-8.292,-0.979
DisplayName_Erik Harris,5.382,8.13,0.662,0.508,-10.553,21.317
DisplayName_Erik Magnuson,-6.1462,2.405,-2.556,0.011,-10.86,-1.432
DisplayName_Erik Swoope,-3.7604,3.453,-1.089,0.276,-10.529,3.008
DisplayName_Erik Walden,2.28,8.272,0.276,0.783,-13.933,18.493
DisplayName_Ethan Pocic,-2.9675,3.543,-0.837,0.402,-9.912,3.977
DisplayName_Ethan Westbrooks,-9.2751,11.779,-0.787,0.431,-32.361,13.811
DisplayName_Evan Baylis,-1.013,6.508,-0.156,0.876,-13.768,11.742
DisplayName_Evan Boehm,2.0558,2.149,0.957,0.339,-2.156,6.268
DisplayName_Evan Engram,-3.5149,3.854,-0.912,0.362,-11.068,4.038
DisplayName_Evan Smith,-0.9575,1.699,-0.563,0.573,-4.288,2.373
DisplayName_Everson Griffen,-12.57,15.609,-0.805,0.421,-43.163,18.023
DisplayName_Ezekiel Ansah,-13.1645,15.216,-0.865,0.387,-42.988,16.659
DisplayName_Ezekiel Elliott,-2.1102,2.258,-0.934,0.35,-6.536,2.316
DisplayName_Ezekiel Turner,1.707,5.249,0.325,0.745,-8.582,11.996
DisplayName_Fabian Moreau,-0.6336,3.438,-0.184,0.854,-7.372,6.104
DisplayName_Fadol Brown,-10.9034,13.187,-0.827,0.408,-36.749,14.942
DisplayName_Fish Smithson,-4.579e-14,2.25e-14,-2.036,0.042,-8.99e-14,-1.71e-15
DisplayName_Fitzgerald Toussaint,-8.8133,7.591,-1.161,0.246,-23.691,6.065
DisplayName_Fletcher Cox,-6.1028,5.666,-1.077,0.281,-17.208,5.002
DisplayName_Foley Fatukasi,4.5905,5.015,0.915,0.36,-5.238,14.419
DisplayName_Forrest Lamp,-4.4416,2.791,-1.592,0.111,-9.911,1.028
DisplayName_Foye Oluokun,-7.5521,2.534,-2.981,0.003,-12.518,-2.586
DisplayName_Fozzy Whittaker,-12.419,7.234,-1.717,0.086,-26.597,1.759
DisplayName_Frank Clark,-16.1632,19.251,-0.84,0.401,-53.896,21.569
DisplayName_Frank Gore,-5.8371,4.875,-1.197,0.231,-15.393,3.719
DisplayName_Frank Ragnow,-4.3329,1.812,-2.392,0.017,-7.884,-0.782
DisplayName_Frank Zombo,3.0744,9.283,0.331,0.741,-15.121,21.27
DisplayName_Frankie Luvu,-1.3128,4.189,-0.313,0.754,-9.524,6.898
DisplayName_Fred Warner,-2.2236,4.41,-0.504,0.614,-10.868,6.421
DisplayName_Freddie Bishop,3.9604,10.805,0.367,0.714,-17.218,25.139
DisplayName_Freddie Martino,-6.2975,4.113,-1.531,0.126,-14.359,1.764
DisplayName_Frostee Rucker,-19.5503,19.369,-1.009,0.313,-57.512,18.412
DisplayName_Gabe Holmes,0.1724,1.358,0.127,0.899,-2.488,2.833
DisplayName_Gabe Jackson,6.9439,6.314,1.1,0.271,-5.431,19.319
DisplayName_Gabe Wright,-9.4182,9.893,-0.952,0.341,-28.807,9.971
DisplayName_Gareon Conley,-5.1152,1.576,-3.246,0.001,-8.204,-2.026
DisplayName_Garett Bolles,-5.8269,2.25,-2.59,0.01,-10.237,-1.417
DisplayName_Garrett Celek,-0.441,1.066,-0.414,0.679,-2.53,1.648
DisplayName_Garrett Dickerson,-1.174,3.371,-0.348,0.728,-7.781,5.433
DisplayName_Garrett Gilbert,-2.0646,2.461,-0.839,0.401,-6.887,2.758
DisplayName_Garrett Griffin,-4.4653,4.19,-1.066,0.287,-12.677,3.746
DisplayName_Garrett Sickels,5.1267,9.502,0.54,0.59,-13.497,23.751
DisplayName_Garrison Smith,-7.6524,9.666,-0.792,0.429,-26.598,11.293
DisplayName_Garry Gilliam,-5.313,2.564,-2.072,0.038,-10.338,-0.288
DisplayName_Gavin Escobar,5.4352,3.097,1.755,0.079,-0.636,11.506
DisplayName_Gehrig Dieter,-4.6941,2.692,-1.744,0.081,-9.97,0.582
DisplayName_Genard Avery,3.4919,8.481,0.412,0.681,-13.131,20.115
DisplayName_Geneo Grissom,-16.6259,18.211,-0.913,0.361,-52.319,19.067
DisplayName_Geno Atkins,-7.0579,8.248,-0.856,0.392,-23.224,9.108
DisplayName_Geno Smith,-2.6202,1.685,-1.555,0.12,-5.922,0.682
DisplayName_Geoff Swaim,3.3289,2.158,1.543,0.123,-0.901,7.558
DisplayName_George Fant,0.5055,5.893,0.086,0.932,-11.044,12.055
DisplayName_George Iloka,5.6321,9.89,0.569,0.569,-13.752,25.016
DisplayName_George Johnson,-15.7874,17.956,-0.879,0.379,-50.98,19.405
DisplayName_George Kittle,-0.2373,1.401,-0.169,0.866,-2.984,2.509
